"state_fips","county_fips","pop1996","pop1997","pop1998","pop1999","state","county","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","pop2018","pop2019"
21,159,12571,12224,12083,11901,"Kentucky","Martin",12560,12414,12379,12279,13147,13560,13393,13259,13217,13070,12895,12829,12725,12651,12494,12285,11945,11492,11325,11195
21,161,16923,16954,16913,16825,"Kentucky","Mason",16786,16798,16809,16694,16760,16868,17073,17185,17365,17378,17505,17546,17460,17323,17133,17050,17167,17192,17080,17070
21,163,27509,28201,28732,29195,"Kentucky","Meade",26523,26789,27190,27320,27822,27908,27520,27207,27013,26501,28714,29643,29255,29240,29086,27725,27959,28033,28623,28572
21,165,5486,5634,5774,5865,"Kentucky","Menifee",6595,6689,6734,6683,6727,6731,6741,6677,6693,6593,6371,6419,6338,6341,6304,6373,6449,6465,6437,6489
21,167,20304,20416,20664,20809,"Kentucky","Mercer",20826,20852,21036,21258,21396,21567,21580,21754,21850,21920,21308,21275,21323,21291,21360,21377,21405,21542,21702,21933
21,169,9355,9500,9573,9596,"Kentucky","Metcalfe",10020,10087,9968,9963,9998,10077,10104,10163,10169,10063,10147,10070,9983,9960,9997,9925,10020,10093,10070,10071
21,17,19218,19327,19337,19363,"Kentucky","Bourbon",19364,19409,19381,19442,19576,19703,19566,19612,19732,19729,19965,20051,20050,20026,20055,20166,20130,20092,20116,19788
21,171,11357,11283,11143,11157,"Kentucky","Monroe",11739,11791,11728,11710,11635,11772,11745,11651,11512,11569,10970,10918,10848,10715,10674,10618,10539,10597,10732,10650
21,173,20514,20747,21006,21636,"Kentucky","Montgomery",22663,22814,23159,23429,23677,24202,24730,25183,25515,25835,26549,26751,26860,27229,27365,27576,27666,27913,28109,28157
21,175,13384,13499,13575,13660,"Kentucky","Morgan",13967,14061,14187,14230,14357,14264,14236,14261,14165,14092,13726,13719,13531,13362,13343,13267,13260,13230,13372,13309
